competition,date,home_team,scores,away_team,location
Unofficial Friendly,1915 ,South China A.A.,3–1,Philippines,"Shanghai, China"
Friendly[1],6 January 1968 ,Philippines,2–1,Dallas Tornado,"Manila, Philippines"
Friendly,12 February 1972 ,Philippines,0–6,Cruzeiro,"Manila, Philippines"
1972 Jakarta Anniversary Tournament,6 June 1972 ,South Korea B,1–1,Philippines,Jakarta
1972 Merdeka Tournament,23 July 1972 ,Philippines,1–1,Burma B,"Ipoh, Malaysia"
Friendly[2],12 December 1975 ,Philippines,2–3,Sabah FA,"Manila, Philippines"
1981 Jakarta Anniversary Tournament,16 August 1981 ,Universidad de Guadalajara,12–0,Philippines,"Jakarta, Indonesia"
1981 Jakarta Anniversary Tournament,18 August 1981 ,Philippines,2–0,Malaysia B,"Jakarta, Indonesia"
1986 President Aquino Cup,6 August 1986 ,Guangdong,2–0,Philippines,"Manila, Philippines"
1986 President Aquino Cup,8 August 1986 ,Philippines,0–5,Russian SFSR,"Manila, Philippines"
1986 President Aquino Cup,10 August 1986 ,Philippines,1–5,South China,"Manila, Philippines"
1991 Philippines International Cup,7 May 1991 ,Malay Mail,1–0,Philippines,"Bacolod, Philippines"
1991 Philippines International Cup,9 May 1991 ,Philippines,0–0,Taipei Bank,"Bacolod, Philippines"
1993 Philippines International Cup,12 May 1993 ,Philippines,1–0,Malay Mail,"Bacolod, Philippines"
1993 Philippines International Cup,13 May 1993 ,Philippines,1–1,Taipei Bank,"Bacolod, Philippines"
1993 Philippines International Cup,14 May 1993 ,Philippines,1–2,Shanghai,"Bacolod, Philippines"
1997 President's Cup,15 February 1997 ,Philippines,1–1,Malay Mail,"Iloilo City, Philippines"
1997 President's Cup,19 February 1997 ,Philippines,2–0,Woodlands Wellington,"Iloilo City, Philippines"
1997 President's Cup SF,21 February 1997 ,Philippines,0–2,Royal Thai Air Force,"Iloilo City, Philippines"
1998 President's Centennial Cup,7 March 1998 ,Philippines,0–1,Tatung,"Iloilo City, Philippines"
1998 President's Centennial Cup,9 March 1998 ,Philippines,2–1,Malay Mail,"Iloilo City, Philippines"
1998 President's Centennial Cup,11 March 1998 ,Philippines,2–1,Woodlands Wellington,"Iloilo City, Philippines"
1998 President's Centennial Cup SF,14 March 1998 ,Philippines,0–4,Hong Kong Rangers,"Bacolod, Philippines"
1998 President's Centennial Cup 3rd place,15 March 1998 ,Philippines,1–3,Sembawang Rangers,"Bacolod, Philippines"
2006 AFC Challenge Cup GS,3 April 2006 ,Philippines,1–1,India U-20,"Chittagong, Bangladesh"
Friendly[3],11 October 2008 ,Rattana Bundit,1–2,Philippines,"Bangkok, Thailand"
Friendly[4],13 October 2008 ,Bangkok Glass,2–1,Philippines,"Bangkok, Thailand"
Friendly[5],17 January 2010 ,Taipei PE College,2–1,Philippines,"Kaohsiung, Taiwan"
Friendly[6],3 October 2010 ,Chinese Taipei U-23,1–0,Philippines,"Tainan, Taiwan"
2010 Long Teng Cup,9 October 2010 ,Hong Kong U-23,4–2[note 1],Philippines,"Kaohsiung, Taiwan"
Friendly[8],27 November 2010 ,Nakhon Pathom,8–0,Philippines,"Nakhon Pathom, Thailand"
Friendly[9],9 March 2011 ,Kanto Gakuin University,4–0,Philippines,"Gotemba, Japan"
Friendly[10],11 March 2011 ,Kanto Gakuin University,8–1,Philippines,"Gotemba, Japan"
Friendly[11],5 June 2011 ,Philippines,3–4,UFL All Stars,"Makati, Philippines"
Friendly[12],15 June 2011 ,Aachen-Düren XI,1–4,Philippines,"Düren, Germany"
Friendly[13],17 June 2011 ,Bonner U-19,1–4,Philippines,"Alfter, Germany"
Friendly[14],22 June 2011 ,Ingolstadt 04,4–0,Philippines,"Ingolstadt, Germany"
Friendly[15],24 June 2011 ,Darmstadt 98,5–0,Philippines,"Darmstadt, Germany"
Friendly[16],16 July 2011 ,Bahrain U23,2–1,Philippines,"Riffa, Bahrain"
Friendly[17],18 July 2011 ,Bahrain U23,3–1,Philippines,"Arad, Bahrain"
Friendly[18],3 December 2011 ,Philippines,1–6,LA Galaxy,"Manila, Philippines"
Friendly[19],7 January 2012 ,Philippines,1–3,Inter de Madrid,"Manila, Philippines"
Friendly[20],21 January 2012 ,Philippines,1–1 (2–4 p),Icheon Citizen FC,"Manila, Philippines"
Friendly[21],11 February 2012 ,Philippines,0–3,Uzbekistan U-23,"Dubai, United Arab Emirates"
Friendly[22],13 February 2012 ,Al Ahli SC,1–3,Philippines,"Doha, Qatar"
Friendly[24],16 February 2012 ,Philippines,0–1,Australia U-23,"Dubai, United Arab Emirates"
Friendly[25],11 August 2012 ,Chicago Inferno,3–1,Philippines,"Wheaton, United States[26]"
Friendly[27],5 September 2012 ,Cambodia,0–0[note 2],Philippines,"Phnom Penh, Cambodia"
Friendly[29],10 September 2012 ,Laos,2–1[note 3],Philippines,"Vientiane, Laos"
Friendly[31],14 April 2014 ,Al Ahli SC,1–1,Philippines,"Doha, Qatar"
Friendly[32][33],10 May 2014 ,Al-Muharraq SC,2–1,Philippines,"Riffa, Bahrain"
Friendly[34],27 August 2014 ,Philippines,3–1,Global,"Manila, Philippines"
Friendly,26 July 2016[35] ,Philippines,0–2,Perth Glory FC,"Bantay, Philippines"
Unofficial friendly[note 4],6 November 2018 ,Philippines,3–1,Mongolia,"Imus, Philippines"
Unofficial friendly[note 5],31 December 2018 ,Vietnam,4–2,Philippines,"Doha, Qatar"
Unofficial friendly[note 6],9 June 2019 ,Guangzhou Evergrande (RT),0–0,Philippines,"Guangzhou, China"
Unofficial friendly,10 October 2019 ,Philippines,3–1,Chainat Hornbill,"Bacolod, Philippines"
Unofficial friendly,"October 15, 2023 ",Kyrgyzstan,0–1,Philippines,"Manama, Bahrain"
1913 Far Eastern Championship Games,February 4 1913,Philippines,2–1,China,"Manila, Philippines"
1915 Far Eastern Championship Games,May 17 1915,China,1–0,Philippines,"Shanghai, China"
1915 Far Eastern Championship Games,May 18 1915,China,0–0,Philippines,"Shanghai, China"
1915 Far Eastern Championship Games,May 20 1915,China,1–1,Philippines,"Shanghai, China"
1917 Far Eastern Championship Games,May 10 1917,Japan,2–15,Philippines,"Tokyo, Japan"
1917 Far Eastern Championship Games,May 11 1917,China,3–0abandoned,Philippines,"Tokyo, Japan"
1919 Far Eastern Championship Games,May 12 1919,Philippines,0–2,China,"Manila, Philippines"
1919 Far Eastern Championship Games,May 13 1919,Philippines,2–1,China,"Manila, Philippines"
1919 Far Eastern Championship Games,May 15 1919,Philippines,1–2,China,"Manila, Philippines"
1921 Far Eastern Championship Games,May 30 1921,Philippines,3–1,Japan,"Shanghai, China"
1921 Far Eastern Championship Games,June 2 1921,China,1–0,Philippines,"Shanghai, China"
1923 Far Eastern Championship Games,May 22 1923,China,3–0,Philippines,"Osaka, Japan"
1923 Far Eastern Championship Games,May 23 1923,Japan,1–2,Philippines,"Osaka, Japan"
1925 Far Eastern Championship Games,May 18 1925,Philippines,4–0,Japan,"Manila, Philippines"
1925 Far Eastern Championship Games,May 20 1925,Philippines,1–5,China,"Manila, Philippines"
1927 Far Eastern Championship Games,August 29 1927,Japan,2–1,Philippines,"Shanghai, China"
1927 Far Eastern Championship Games,August 31 1927,China,3–1,Philippines,"Shanghai, China"
1930 Far Eastern Championship Games,May 25 1930,Japan,7–2,Philippines,"Tokyo, Japan"
1930 Far Eastern Championship Games,May 27 1930,China,5–0,Philippines,"Tokyo, Japan"
1934 Far Eastern Championship Games,May 12 1934,China,2–0,Philippines,"Manila, Philippines"
1934 Far Eastern Championship Games,May 15 1934,Japan,4–3,Philippines,"Manila, Philippines"
1934 Far Eastern Championship Games,May 19 1934,Philippines,3–2,Dutch East Indies,"Manila, Philippines"
1940 East Asian Games,June 8 1940,Republic of China,2–1,Philippines,"Tokyo, Japan"
1940 East Asian Games,June ? 1940,Manchukuo,1–1,Philippines,Japan
1940 East Asian Games,June 16 1940,Japan,1–0,Philippines,"Nishinomiya, Japan"
1977 Southeast Asian Games GS,20 November 1977,Philippines,4–1,Brunei,"Kuala Lumpur, Malaysia"
1977 Southeast Asian Games GS,21 November 1977,Malaysia,5–0,Philippines,"Kuala Lumpur, Malaysia"
1977 Southeast Asian Games GS,23 November 1977,Philippines,1–1,Indonesia,"Kuala Lumpur, Malaysia"
1976 Summer Olympics qualification,14 March 1976,Philippines,0–3,Japan,"Tokyo, Japan"
1976 Summer Olympics qualification,17 March 1976,Philippines,0–3,Japan,"Tokyo, Japan"
Aloha Soccer Festival[3][4],8 April 1976,Philippines,1–0,Taiwan,"Honolulu, United States"
1974 Asian Games R1,3 September 1974,Japan,4–0,Philippines,"Tehran, Iran"
1974 Asian Games R1,6 September 1974,Israel,6–0,Philippines,"Tehran, Iran"
1974 Asian Games R1,7 September 1974,Malaysia,11–0,Philippines,"Tehran, Iran"
1972 Jakarta Anniversary Tournament,8 June 1972,Singapore,0–2,Philippines,Jakarta
1972 Jakarta Anniversary Tournament,12 June 1972,Philippines,1–0,Thailand,Jakarta
1972 Jakarta Anniversary Tournament,14 June 1972,Khmer Republic,4–0,Philippines,Jakarta
1972 Merdeka Tournament,14 July 1972,Malaysia,1–0,Philippines,"Kuala Lumpur, Malaysia"
1972 Merdeka Tournament,16 July 1972,Khmer Republic,2–2,Philippines,"Kuala Lumpur, Malaysia"
1972 Merdeka Tournament,18 July 1972,Japan,5–1,Philippines,"Kuala Lumpur, Malaysia"
1972 Merdeka Tournament,20 July 1972,Philippines,4–1,Sri Lanka,"Kuala Lumpur, Malaysia"
1972 Pesta Sukan Cup,2 August 1972,Indonesia,3–0,Philippines,"Kallang, Singapore"
1972 Pesta Sukan Cup,3 August 1972,Japan,4–1,Philippines,Singapore
1972 Pesta Sukan Cup,5 August 1972,Khmer Republic,?,Philippines,Singapore
1972 President's Cup Football Tournament,21 September 1972,Burma,4–0,Philippines,"Seoul, South Korea"
1972 President's Cup Football Tournament,23 September 1972,Singapore,5–0,Philippines,"Seoul, South Korea"
1972 President's Cup Football Tournament,23 September 1972,Philippines,0–11,Indonesia,South Korea
Friendly[5],29 October 1972,Philippines,0–6,Australia,"Manila, Philippines"
1971 Merdeka Tournament,9 August 1971,Hong Kong,2–1,Philippines,"Kuala Lumpur, Malaysia"
1971 Merdeka Tournament,11 August 1971,Indonesia,3–1,Philippines,"Kuala Lumpur, Malaysia"
1971 Merdeka Tournament,14 August 1971,Burma,2–0,Philippines,"Kuala Terengganu, Malaysia"
1971 Merdeka Tournament,15 August 1971,Singapore,4–4,Philippines,"Kuala Lumpur, Malaysia"
1971 Merdeka Tournament,16 August 1971,India,5–1,Philippines,"Kuala Lumpur, Malaysia"
1971 Merdeka Tournament 11th place,17 August 1971,Philippines,3–1,Thailand,"Kuala Lumpur, Malaysia"
1971 Pesta Sukan Cup,24 August 1971,Thailand,1–0,Philippines,"Kallang, Singapore"
1971 Pesta Sukan Cup,27 August 1971,South Korea,3–1,Philippines,"Kallang, Singapore"
1972 OQT[6],25 September 1971,Philippines,3–0,Taiwan,"Seoul, South Korea"
1972 OQT,27 September 1971,Japan,8–1,Philippines,"Seoul, South Korea"
1972 OQT,29 September 1971,South Korea,6–0,Philippines,"Seoul, South Korea"
1972 OQT,2 October 1971,Malaysia,5–0,Philippines,"Seoul, South Korea"
1968 Summer Olympics qualification,27 September 1967 1967,Japan,15–0,Philippines,"Tokyo, Japan"
1968 Summer Olympics qualification,28 September 1967 1967,Lebanon,11–1,Philippines,"Tokyo, Japan"
1968 Summer Olympics qualification,3 October 1967 1967,Taiwan,7–2,Philippines,"Tokyo, Japan"
1968 Summer Olympics qualification,7 October 1967 1967,South Vietnam,10–0,Philippines,"Tokyo, Japan"
1968 Summer Olympics qualification,10 October 1967 1967,South Korea,5–0,Philippines,"Tokyo, Japan"
1960 AFC Asian Cup qualification,29 March 1959 1959,Philippines,0–7,Hong Kong,"Manila, Philippines"
1960 AFC Asian Cup qualification,31 March 1959 1959,Philippines,4–7,Taiwan,"Manila, Philippines"
1958 Asian Games,25 May 1958 1958,Hong Kong,4–1,Philippines,"Tokyo, Japan"
1958 Asian Games,26 May 1958 1958,Philippines,1–0,Japan,"Tokyo, Japan"
1958 Asian Games,30 May 1958 1958,Indonesia,5–2,Philippines,"Tokyo, Japan"
Unofficial friendly,,Philippines,0–2,Japan,"Manila, Philippines"
Unofficial friendly,,Philippines,0–3,Japan,"Manila, Philippines"
1956 AFC Asian Cup qualification,25 February 1956 1956,Philippines,0–2,South Korea,"Manila, Philippines"
1956 AFC Asian Cup qualification,21 April 1956 1956,South Korea,3–0,Philippines,"Seoul, South Korea"
1954 Asian Games,3 May 1954 1954,Philippines,2–3,South Vietnam,"Manila, Philippines"
1954 Asian Games,6 May 1954 1954,Philippines,0–4,Taiwan,"Manila, Philippines"
Unofficial friendly,31 January 1953 1953,Singapore,4–0,Philippines,"Manila, Philippines"
Unofficial friendly,20 June 1953 1953,Singapore,3–1,Philippines,Singapore
Unofficial friendly,19 February 1950 1950,Hong Kong,6–1,Philippines,British Hong Kong
Unofficial friendly,21 February 1948 1948,Hong Kong,4–1,Philippines,British Hong Kong
1980 Summer Olympics qualification,22 March 1980,Indonesia,4–0,Philippines,"Kuala Lumpur, Malaysia"
1980 Summer Olympics qualification,24 March 1980,Japan,10–0,Philippines,"Kuala Lumpur, Malaysia"
1980 Summer Olympics qualification,25 March 1980,Brunei,2–0,Philippines,"Kuala Lumpur, Malaysia"
1980 Summer Olympics qualification,27 March 1980,South Korea,8–0,Philippines,"Kuala Lumpur, Malaysia"
1980 Summer Olympics qualification,3 April 1980,Malaysia,8–0,Philippines,"Kuala Lumpur, Malaysia"
1981 Jakarta Anniversary Tournament,14 August 1981,Indonesia,3–0,Philippines,"Jakarta, Indonesia"
1981 Southeast Asian Games GS,9 December 1981,Singapore,4–0,Philippines,"Manila, Philippines"
1981 Southeast Asian Games GS,11 December 1981,Indonesia,2–0,Philippines,"Manila, Philippines"
1983 Southeast Asian Games GS,30 May 1983,Philippines,0–0,Malaysia,Singapore
1983 Southeast Asian Games GS,1 June 1983,Singapore,5–0,Philippines,Singapore
1984 Summer Olympics qualification,4 September 1983,Japan,7–0,Philippines,"Tokyo, Japan"
1984 Summer Olympics qualification,7 September 1983,Japan,10–1,Philippines,"Tokyo, Japan"
1984 AFC Asian Cup qualification,7 August 1984,Syria,2–0,Philippines,"Jakarta, Indonesia"
1984 AFC Asian Cup qualification,9 August 1984,Thailand,3–0,Philippines,"Jakarta, Indonesia"
1984 AFC Asian Cup qualification,11 August 1984,Indonesia,1–0,Philippines,"Solo, Indonesia"
1984 AFC Asian Cup qualification,13 August 1984,Bangladesh,3–2,Philippines,"Solo, Indonesia"
1984 AFC Asian Cup qualification,15 August 1984,Iran,7–1,Philippines,"Jakarta, Indonesia"
1985 Southeast Asian Games GS,10 December 1985,Malaysia,6–0,Philippines,"Bangkok, Thailand"
1985 Southeast Asian Games GS,12 December 1985,Thailand,7–0,Philippines,"Bangkok, Thailand"
1988 Summer Olympics qualification,3 April 1987,Philippines,0–5,Hong Kong,Hong Kong
1988 Summer Olympics qualification,10 April 1987,Philippines,0–9,China,"Guangzhou, China"
1988 Summer Olympics qualification,13 April 1987,China,10–0,Philippines,"Guangzhou, China"
1988 Summer Olympics qualification,14 May 1987,Hong Kong,7–0,Philippines,"Guangzhou, China"
1989 Southeast Asian Games GS,21 August 1989,Malaysia,3–0,Philippines,"Kuala Lumpur, Malaysia"
1989 Southeast Asian Games GS,23 August 1989,Indonesia,5–1,Philippines,"Kuala Lumpur, Malaysia"
1989 Southeast Asian Games GS,25 August 1989,Brunei,2–0,Philippines,"Kuala Lumpur, Malaysia"
1991 Philippines International Cup,6 May 1991,Philippines,2–1,Brunei,"Iloilo City, Philippines"
Friendly,20 May 1991,Pakistan,1–0,Philippines,"Dubai, United Arab Emirates"
1991 Southeast Asian Games GS,26 November 1991,Philippines,2–2,Vietnam,"Manila, Philippines"
1991 Southeast Asian Games GS,28 November 1991,Philippines,1–0,Malaysia,"Manila, Philippines"
1991 Southeast Asian Games GS,30 November 1991,Philippines,1–2,Indonesia,"Manila, Philippines"
1991 Southeast Asian Games SF,2 December 1991,Thailand,6–2,Philippines,"Manila, Philippines"
1991 Southeast Asian Games 3rd place,4 December 1991,Philippines,0–2,Singapore,"Manila, Philippines"
1993 Philippines International Cup,15 May 1993,Philippines,1–0,Brunei,"Bacolod, Philippines"
1993 Philippines International Cup 3rd place,17 May 1993,Philippines,0–1,Brunei,"Bacolod, Philippines"
1993 Southeast Asian Games GS,9 June 1993,Singapore,7–0,Philippines,Singapore
1993 Southeast Asian Games GS,11 June 1993,Vietnam,1–0,Philippines,Singapore
1993 Southeast Asian Games GS,15 June 1993,Indonesia,3–1,Philippines,Singapore
1995 Southeast Asian Games GS,4 December 1995,Myanmar,4–1,Philippines,"Lamphun, Thailand"
1995 Southeast Asian Games GS,6 December 1995,Laos,1–0,Philippines,"Lamphun, Thailand"
1995 Southeast Asian Games GS,8 December 1995,Singapore,4–0,Philippines,"Chiang Mai, Thailand"
1995 Southeast Asian Games GS,12 December 1995,Philippines,1–0,Brunei,"Lamphun, Thailand"
1996 AFC Asian Cup qualification,30 January 1996,Hong Kong,8–0,Philippines,Hong Kong
1996 AFC Asian Cup qualification,1 February 1996,Philippines,0–7,China,Hong Kong
1996 AFC Asian Cup qualification,4 February 1996,Macau,5–1,Philippines,Hong Kong
1996 AFF Championship GS,2 September 1996,Philippines,0–5,Thailand,Singapore
1996 AFF Championship GS,4 September 1996,Malaysia,7–0,Philippines,Singapore
1996 AFF Championship GS,6 September 1996,Singapore,3–0,Philippines,Singapore
1996 AFF Championship GS,8 September 1996,Brunei,1–0,Philippines,Singapore
1998 FIFA World Cup qualification,21 September 1996,India,2–0,Philippines,"Doha, Qatar"
1998 FIFA World Cup qualification,23 September 1996,Qatar,5–0,Philippines,"Doha, Qatar"
1998 FIFA World Cup qualification,26 September 1996,Philippines,0–3,Sri Lanka,"Doha, Qatar"
1997 President's Cup 3rd place,23 February 1997,Philippines,1–1 (3–4 p),Cambodia,"Iloilo City, Philippines"
1997 Southeast Asian Games GS,7 October 1997,Malaysia,4–0,Philippines,"Jakarta, Indonesia"
1997 Southeast Asian Games GS,9 October 1997,Laos,4–1,Philippines,"Jakarta, Indonesia"
1997 Southeast Asian Games GS,12 October 1997,Indonesia,2–0,Philippines,"Jakarta, Indonesia"
1997 Southeast Asian Games GS,14 October 1997,Vietnam,3–0,Philippines,"Jakarta, Indonesia"
Friendly,27 November 1997,Philippines,0–1,Estonia,"Manila, Philippines"
1998 AFF Championship qualification,24 March 1998,Singapore,1–0,Philippines,Singapore
1998 AFF Championship qualification,26 March 1998,Cambodia,1–1,Philippines,Singapore
1998 AFF Championship GS,27 August 1998,Indonesia,3–0,Philippines,"Ho Chi Minh City, Vietnam"
1998 AFF Championship GS,29 August 1998,Thailand,3–1,Philippines,"Ho Chi Minh City, Vietnam"
1998 AFF Championship GS,29 August 1998,Myanmar,5–2,Philippines,"Ho Chi Minh City, Vietnam"
1999 Southeast Asian Games GS,30 July 1999,Thailand,9–0,Philippines,"Bandar Seri Begawan, Brunei"
