competition,date,home_team,scores,away_team,location
1999 Southeast Asian Games GS,1 August 1999,Myanmar,4–1,Philippines,"Bandar Seri Begawan, Brunei"
1999 Southeast Asian Games GS,3 August 1999,Philippines,2–3,Laos,"Bandar Seri Begawan, Brunei"
1999 Southeast Asian Games GS,8 August 1999,Philippines,0–2,Vietnam,"Bandar Seri Begawan, Brunei"
2000 AFC Asian Cup qualification,23 January 2000,China,8–0,Philippines,"Ho Chi Minh City, Vietnam"
2000 AFC Asian Cup qualification,26 January 2000,Vietnam,3–0,Philippines,"Ho Chi Minh City, Vietnam"
2000 AFC Asian Cup qualification,29 January 2000,Guam,0–2,Philippines,"Ho Chi Minh City, Vietnam"
2000 Tiger Cup GS,6 November 2000,Indonesia,3–0,Philippines,"Chiang Mai, Thailand"
2000 Tiger Cup GS,8 November 2000,Myanmar,3–0,Philippines,"Chiang Mai, Thailand"
2000 Tiger Cup GS,12 November 2000,Thailand,2–0,Philippines,"Chiang Mai, Thailand"
Friendly[3],25 April 2001,Lebanon,3–0,Philippines,"Beirut, Lebanon"
2002 FIFA World Cup qualification,30 April 2001,Syria,12–0,Philippines,"Aleppo, Syria"
2002 FIFA World Cup qualification,4 May 2001,Philippines,1–5,Syria,"Aleppo, Syria"
2002 FIFA World Cup qualification,7 May 2001,Oman,7–0,Philippines,"Muscat, Oman"
2002 FIFA World Cup qualification,11 May 2001,Philippines,0–2,Oman,"Muscat, Oman"
2002 FIFA World Cup qualification,19 May 2001,Laos,2–0,Philippines,"Vientiane, Laos"
2002 FIFA World Cup qualification,26 May 2001,Laos,1–1,Philippines,"Pasig, Philippines"
Friendly[5][6],11 December 2002,Singapore,2–0,Philippines,Singapore
2002 Tiger Cup GS,17 December 2002,Philippines,1–6,Myanmar,"Jakarta, Indonesia"
2002 Tiger Cup GS,19 December 2002,Vietnam,4–1,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,21 December 2002,Cambodia,1–0,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,23 December 2002,Indonesia,13–1,Philippines,"Jakarta, Indonesia"
2002 Tiger Cup GS,8 December 2004,Philippines,0–1,Myanmar,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,10 December 2004,Malaysia,4–1,Philippines,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,14 December 2004,Philippines,2–1,East Timor,"Kuala Lumpur, Malaysia"
2002 Tiger Cup GS,16 December 2004,Thailand,3–1,Philippines,"Kuala Lumpur, Malaysia"
Friendly[7],26 March 2006,Thailand,5–0,Philippines,"Chonburi, Thailand"
2006 AFC Challenge Cup GS,1 April 2006,Chinese Taipei,1–0,Philippines,"Chittagong, Bangladesh"
2006 AFC Challenge Cup GS,5 April 2006,Philippines,1–1,Afghanistan,"Chittagong, Bangladesh"
2007 AFF Championship qualification,12 November 2006,Philippines,1–2,Laos,"Bacolod, Philippines"
2007 AFF Championship qualification,14 November 2006,Philippines,7–0,East Timor,"Bacolod, Philippines"
2007 AFF Championship qualification,18 November 2006,Philippines,1–0,Cambodia,"Bacolod, Philippines"
2007 AFF Championship qualification,20 November 2006,Philippines,4–1,Brunei,"Bacolod, Philippines"
Friendly[8],7 January 2007,Singapore,4–1,Philippines,Singapore
2007 AFF Championship GS,12 January 2007,Malaysia,4–0,Philippines,"Bangkok, Thailand"
2007 AFF Championship GS,12 January 2007,Thailand,4–0,Philippines,"Bangkok, Thailand"
2007 AFF Championship GS,12 January 2007,Myanmar,0–0,Philippines,"Bangkok, Thailand"
2008 AFC Challenge Cup qualification,13 May 2008,Brunei,0–1,Philippines,"Iloilo City, Philippines"
2008 AFC Challenge Cup qualification,15 May 2008,Philippines,0–0,Tajikistan,"Iloilo City, Philippines"
2008 AFC Challenge Cup qualification,17 May 2008,Philippines,3–0,Bhutan,"Barotac Nuevo, Philippines"
2008 AFF Championship qualification,17 October 2008,Philippines,1–0,East Timor,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,19 October 2008,Brunei,1–1,Philippines,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,21 October 2008,Philippines,1–2,Laos,"Phnom Penh, Cambodia"
2008 AFF Championship qualification,23 October 2008,Cambodia,2–3,Philippines,"Phnom Penh, Cambodia"
2010 AFC Challenge Cup qualification,14 April 2009,Philippines,1–0,Bhutan,"Malé, Maldives"
2010 AFC Challenge Cup qualification,16 April 2009,Maldives,3–2,Philippines,"Malé, Maldives"
2010 AFC Challenge Cup qualification,18 April 2009,Turkmenistan,5–0,Philippines,"Malé, Maldives"
Friendly[3][4],16 January 2010,Chinese Taipei,0–0,Philippines,"Kaohsiung, Taiwan"
2010 Long Teng Cup,10 October 2010,Chinese Taipei,1–1,Philippines,"Kaohsiung, Taiwan"
2010 Long Teng Cup,12 October 2010,Philippines,5–0,Macau,"Kaohsiung, Taiwan"
2010 AFF Championship qualification,22 October 2010,East Timor,0–5,Philippines,"Vientiane, Laos"
2010 AFF Championship qualification,24 October 2010,Laos,2–2,Philippines,"Vientiane, Laos"
2010 AFF Championship qualification,26 October 2010,Philippines,0–0,Cambodia,"Vientiane, Laos"
2010 AFF Championship GS,2 December 2010,Singapore,1–1,Philippines,"Hanoi, Vietnam"
2010 AFF Championship GS,5 December 2010,Philippines,2–0,Vietnam,"Hanoi, Vietnam"
2010 AFF Championship GS,8 December 2010,Myanmar,0–0,Philippines,"Nam Định, Vietnam"
2010 AFF Championship SF 1st leg,16 December 2010,Philippines,0–1[note 1],Indonesia,"Jakarta, Indonesia"
2010 AFF Championship SF 2nd leg,19 December 2010,Indonesia,1–0,Philippines,"Jakarta, Indonesia"
2012 AFC Challenge Cup qualification,9 February 2011,Philippines,2–0,Mongolia,"Bacolod, Philippines"
2012 AFC Challenge Cup qualification,15 March 2011,Mongolia,2–1,Philippines,"Ulan Baatar, Mongolia"
2012 AFC Challenge Cup qualification,21 March 2011,Myanmar,1–1,Philippines,"Yangon, Myanmar"
2012 AFC Challenge Cup qualification,23 March 2011,Philippines,0–0,Palestine,"Yangon, Myanmar"
2012 AFC Challenge Cup qualification,25 March 2011,Bangladesh,0–3,Philippines,"Yangon, Myanmar"
2014 FIFA World Cup qualification,29 June 2011,Sri Lanka,1–1,Philippines,"Colombo, Sri Lanka"
2014 FIFA World Cup qualification,3 July 2011,Philippines,4–0,Sri Lanka,"Manila, Philippines"
2014 FIFA World Cup qualification,23 July 2011,Kuwait,3–0,Philippines,"Hawally, Kuwait"
2014 FIFA World Cup qualification,28 July 2011,Philippines,1–2,Kuwait,"Manila, Philippines"
2011 Long Teng Cup,30 September 2011,Hong Kong,3–3,Philippines,"Kaohsiung, Taiwan"
2011 Long Teng Cup,2 October 2011,Chinese Taipei,0–0,Philippines,"Kaohsiung, Taiwan"
2011 Long Teng Cup,4 October 2011,Philippines,2–0,Macau,"Kaohsiung, Taiwan"
Friendly[6],7 October 2011,Singapore,2–0,Philippines,Singapore
Friendly[7],11 October 2011,Philippines,4–0,Nepal,"Manila, Philippines"
Friendly[8],29 February 2012,Philippines,1–1,Malaysia,"Manila, Philippines"
2012 AFC Challenge Cup GS,9 March 2012,North Korea,2–0,Philippines,"Kathmandu, Nepal"
2012 AFC Challenge Cup GS,11 March 2012,Philippines,2–0,India,"Kathmandu, Nepal"
2012 AFC Challenge Cup GS,13 March 2012,Tajikistan,1–2,Philippines,"Kathmandu, Nepal"
2012 AFC Challenge Cup SF,16 March 2012,Turkmenistan,2–1,Philippines,"Kathmandu, Nepal"
2012 AFC Challenge Cup 3rd place,19 March 2012,Philippines,4–3,Palestine,"Kathmandu, Nepal"
Friendly[9],1 June 2012,Malaysia,0–0,Philippines,"Shah Alam, Malaysia"
Friendly[10],5 June 2012,Philippines,2–2,Indonesia,"Manila, Philippines"
Friendly[11],12 June 2012,Philippines,3–0,Guam,"Bacolod, Philippines"
Friendly[12],7 September 2012,Singapore,0–2,Philippines,Singapore
2012 Philippine Peace Cup[13],25 September 2012,Philippines,1–0,Guam,"Manila, Philippines"
2012 Philippine Peace Cup[14],27 September 2012,Philippines,5–0,Macau,"Manila, Philippines"
2012 Philippine Peace Cup[15],29 September 2012,Philippines,3–1,Chinese Taipei,"Manila, Philippines"
Friendly[16],12 October 2012,Bahrain,0–0,Philippines,"Manama, Bahrain"
Friendly[17],16 October 2012,Kuwait,2–1,Philippines,"Kuwait City, Kuwait"
Friendly[18],15 November 2012,Philippines,1–0,Singapore,"Cebu, Philippines"
2012 AFF Championship GS,24 November 2012,Thailand,2–1,Philippines,"Bangkok, Thailand"
2012 AFF Championship GS,27 November 2012,Vietnam,0–1,Philippines,"Bangkok, Thailand"
2012 AFF Championship GS,30 November 2012,Philippines,2–0,Myanmar,"Bangkok, Thailand"
2012 AFF Championship SF 1st leg,8 December 2012,Philippines,0–0,Singapore,"Manila, Philippines"
2012 AFF Championship SF 2nd leg,12 December 2012,Singapore,1–0,Philippines,Singapore
Friendly[19],6 February 2013,Myanmar,0–1,Philippines,"Yangon, Myanmar"
2014 AFC Challenge Cup qualification,22 March 2013,Philippines,Cancelled[note 2],Brunei,"Manila, Philippines"
2014 AFC Challenge Cup qualification,24 March 2013,Cambodia,0–8,Philippines,"Manila, Philippines"
2014 AFC Challenge Cup qualification,26 March 2013,Philippines,1–0,Turkmenistan,"Manila, Philippines"
Friendly[22],4 June 2013,Hong Kong,0–1,Philippines,Hong Kong
Friendly[24],14 August 2013,Indonesia,2–0,Philippines,"Surakarta, Indonesia"
2013 Philippine Peace Cup[25],11 October 2013,Philippines,1–2,Chinese Taipei,"Bacolod, Philippines"
2013 Philippine Peace Cup[26],15 October 2013,Philippines,3–1,Pakistan,"Bacolod, Philippines"
Friendly[27],9 November 2013,United Arab Emirates,4–0,Philippines,"Abu Dhabi, United Arab Emirates"
Friendly[28],15 November 2013,India,1–1,Philippines,"Siliguri, India"
Friendly[29],1 March 2014,Malaysia,0–0,Philippines,"Selayang, Malaysia"
Friendly[31],5 March 2014,Philippines,0–1,Azerbaijan,"Dubai, United Arab Emirates"
Friendly[34],11 April 2014,Philippines,3–0,Nepal,"Doha, Qatar"
Friendly[36],27 April 2014,Philippines,0–0,Malaysia,"Cebu, Philippines"
2014 AFC Challenge Cup GS,20 May 2014,Philippines,0–0,Afghanistan,"Addu City, Maldives"
2014 AFC Challenge Cup GS,22 May 2014,Laos,0–2,Philippines,"Addu City, Maldives"
2014 AFC Challenge Cup GS,24 May 2014,Turkmenistan,0–2,Philippines,"Malé, Maldives"
2014 AFC Challenge Cup SF,27 May 2014,Maldives,2–3 (a.e.t.),Philippines,"Malé, Maldives"
2014 AFC Challenge Cup F,30 May 2014,Palestine,1–0,Philippines,"Malé, Maldives"
2014 Philippine Peace Cup SF[38],3 September 2014,Philippines,5–1,Chinese Taipei,"Manila, Philippines"
2014 Philippine Peace Cup F[38],6 September 2014,Philippines,2–3 (a.e.t.),Myanmar,"Manila, Philippines"
Friendly[39],12 October 2014,Philippines,5–0,Papua New Guinea,"Manila, Philippines"
Friendly[41],31 October 2014,Philippines,3–0,Nepal,"Doha, Qatar"
Friendly[42],9 November 2014,Thailand,3–0,Philippines,"Nakhon Ratchasima, Thailand"
Friendly[44],14 November 2014,Philippines,3–0,Cambodia,"Manila, Philippines"
2014 AFF Championship GS,22 November 2014,Philippines,4–1,Laos,"Hanoi, Vietnam"
2014 AFF Championship GS,25 November 2014,Philippines,4–0,Indonesia,"Hanoi, Vietnam"
2014 AFF Championship GS,28 November 2014,Vietnam,3–1,Philippines,"Hanoi, Vietnam"
2014 AFF Championship SF 1st leg,6 December 2014,Philippines,0–0,Thailand,"Manila, Philippines"
2014 AFF Championship SF 2nd leg,10 December 2014,Thailand,3–0,Philippines,"Bangkok, Thailand"
Friendly,30 March 2015,Bahrain,2–1,Philippines,"Riffa, Bahrain"
2018 FIFA World Cup qualification,11 June 2015,Philippines,2–1,Bahrain,"Bocaue, Philippines"
2018 FIFA World Cup qualification,16 June 2015,Yemen,0–2,Philippines,"Doha, Qatar"
Friendly,3 September 2015,Philippines,2–0,Maldives,"Manila, Philippines"
2018 FIFA World Cup qualification,8 September 2015,Philippines,1–5,Uzbekistan,"Bocaue, Philippines"
2018 FIFA World Cup qualification,8 October 2015,North Korea,0–0,Philippines,"Pyongyang, North Korea"
2018 FIFA World Cup qualification,13 October 2015,Bahrain,2–0,Philippines,"Riffa, Bahrain"
2018 FIFA World Cup qualification,12 November 2015,Philippines,0–1,Yemen,"Manila, Philippines"
2018 FIFA World Cup qualification,24 March 2016,Uzbekistan,1–0,Philippines,"Tashkent, Uzbekistan"
2018 FIFA World Cup qualification,29 March 2016,Philippines,3–2,North Korea,"Manila, Philippines"
Friendly,6 September[46] 2016,Kyrgyzstan,1–2,Philippines,"Bishkek, Kyrgyzstan"
Friendly,7 October 2016,Philippines,1–3,Bahrain,"Manila, Philippines"
Friendly,10 October 2016,Philippines,1–3,North Korea,"Manila, Philippines"
Friendly,9 November[46] 2016,Philippines,1–0,Kyrgyzstan,"Manila, Philippines"
2016 AFF Championship GS,19 November 2016,Philippines,0–0,Singapore,"Bocaue, Philippines"
2016 AFF Championship GS,22 November 2016,Indonesia,2–2,Philippines,"Bocaue, Philippines"
2016 AFF Championship GS,25 November 2016,Philippines,0–1,Thailand,"Bocaue, Philippines"
Friendly,22 March 2017,Philippines,0–0,Malaysia,"Manila, Philippines"
2019 AFC Asian Cup qualification,28 March 2017,Philippines,4–1,Nepal,"Manila, Philippines"
Friendly,7 June 2017,China,8–1,Philippines,"Guangzhou, China"
2019 AFC Asian Cup qualification,13 June 2017,Tajikistan,3–4,Philippines,"Dushanbe, Tajikistan"
2019 AFC Asian Cup qualification,5 September 2017,Philippines,2–2,Yemen,"Bacolod, Philippines"
2019 AFC Asian Cup qualification,10 October 2017,Yemen,1–1,Philippines,"Al Wakrah, Qatar"
2019 AFC Asian Cup qualification,14 November 2017,Nepal,0–0,Philippines,"Lalitpur, Nepal"
2017 CTFA International Tournament,1 December 2017,Laos,1–3,Philippines,"Taipei, Taiwan"
2017 CTFA International Tournament,3 December 2017,Chinese Taipei,3–0,Philippines,"Taipei, Taiwan"
2017 CTFA International Tournament,5 December 2017,East Timor,1–0,Philippines,"Taipei, Taiwan"
Friendly,22 March 2018,Philippines,3–2,Fiji,"Manila, Philippines"
2019 AFC Asian Cup qualification,27 March 2018,Philippines,2–1,Tajikistan,"Manila, Philippines"
Friendly,6 September 2018,Bahrain,1–1,Philippines,"Riffa, Bahrain"
Friendly,9 September 2018,Al-Hadd,3–2,Philippines,Bahrain
2018 Bangabandhu Cup,3 October 2018,Philippines,3–1,Laos,"Sylhet, Bangladesh"
2018 Bangabandhu Cup,5 October 2018,Bangladesh,0–1,Philippines,"Sylhet, Bangladesh"
2018 Bangabandhu Cup SF,9 October 2018,Philippines,0–2,Tajikistan,"Cox's Bazar, Bangladesh"
Friendly,13 October 2018,Philippines,1–1,Oman,"Al Rayyan, Qatar"
2018 AFF Championship GS,13 November 2018,Philippines,1–0,Singapore,"Bacolod, Philippines"
2018 AFF Championship GS,17 November 2018,East Timor,2–3,Philippines,"Kuala Lumpur, Malaysia"
2018 AFF Championship GS,21 November 2018,Philippines,1–1,Thailand,"Bacolod, Philippines"
2018 AFF Championship GS,25 November 2018,Indonesia,0–0,Philippines,"Jakarta, Indonesia"
2018 AFF Championship SF 1st leg,2 December 2018,Philippines,1–2,Vietnam,"Bacolod, Philippines"
2018 AFF Championship SF 2nd leg,6 December 2018,Vietnam,2–1,Philippines,"Hanoi, Vietnam"
2019 AFC Asian Cup GS,7 January 2019,South Korea,1–0,Philippines,"Dubai, United Arab Emirates"
2019 AFC Asian Cup GS,11 January 2019,Philippines,0–3,China,"Abu Dhabi, United Arab Emirates"
2019 AFC Asian Cup GS,16 January 2019,Kyrgyzstan,3–1,Philippines,"Dubai, United Arab Emirates"
Friendly,7 June 2019,China,2–0,Philippines,"Guangzhou, China"
2022 FIFA World Cup qualification,5 September 2019,Philippines,2–5,Syria,"Bacolod, Philippines"
2022 FIFA World Cup qualification,10 September 2019,Guam,1–4,Philippines,"Dededo, Guam"
2022 FIFA World Cup qualification,15 October 2019,Philippines,0–0,China,"Bacolod, Philippines"
2022 FIFA World Cup qualification,14 November 2019,Maldives,1–2,Philippines,"Malé, Maldives"
2022 FIFA World Cup qualification,19 November 2019,Syria,1–0,Philippines,"Dubai, United Arab Emirates"
Friendly,May 28 2021,Philippines,Cancelled,India,Qatar
2022 FIFA World Cup qualification,June 7 2021,China,2–0,Philippines,"Sharjah, United Arab Emirates"
2022 FIFA World Cup qualification,June 11 2021,Philippines,3–0,Guam,"Sharjah, United Arab Emirates"
2022 FIFA World Cup qualification,June 15 2021,Philippines,1–1,Maldives,"Sharjah, United Arab Emirates"
2020 AFF Championship GS,December 8 2021,Philippines,1–2,Singapore,"Kallang, Singapore"
2020 AFF Championship GS,December 11 2021,East Timor,0–7,Philippines,"Kallang, Singapore"
2020 AFF Championship GS,December 14 2021,Philippines,1–2,Thailand,"Kallang, Singapore"
2020 AFF Championship GS,December 18 2021,Myanmar,2–3,Philippines,"Bishan, Singapore"
2022 FAS Tri-Nations Series,March 23 2022,Philippines,0–2,Malaysia,"Kallang, Singapore"
2022 FAS Tri-Nations Series,March 29 2022,Singapore,2–0,Philippines,"Kallang, Singapore"
Unofficial friendly,June 3 2022,Philippines,0–1,PFL All-Stars,"Biñan, Philippines"
2023 AFC Asian Cup qualification,June 8 2022,Philippines,0–0,Yemen,"Ulaanbaatar, Mongolia"
2023 AFC Asian Cup qualification,June 11 2022,Mongolia,0–1,Philippines,"Ulaanbaatar, Mongolia"
2023 AFC Asian Cup qualification,June 14 2022,Palestine,4–0,Philippines,"Ulaanbaatar, Mongolia"
Friendly,July 16 2022,Philippines,4–1,East Timor,"Bali, Indonesia"
Friendly,December 14 2022,Vietnam,1–0,Philippines,"Hanoi, Vietnam"
2022 AFF Championship GS,December 20 2022,Cambodia,3–2,Philippines,"Phnom Penh, Cambodia"
2022 AFF Championship GS,December 23 2022,Philippines,5–1,Brunei,"Manila, Philippines"
2022 AFF Championship GS,December 26 2022,Thailand,4–0,Philippines,"Pathum Thani, Thailand"
2022 AFF Championship GS,January 2 2023,Philippines,1–2,Indonesia,"Manila, Philippines"
Friendly,March 24 2023,Kuwait,2–0,Philippines,"Kuwait City, Kuwait"
Friendly,March 28 2023,Jordan,4–0,Philippines,"Doha, Qatar"
Friendly,June 15 2023,Philippines,1–0,Nepal,"Manila, Philippines"
Friendly,June 19 2023,Philippines,2–3,Chinese Taipei,"Manila, Philippines"
Friendly,September 8 2023,Chinese Taipei,1–1,Philippines,"Kaohsiung, Taiwan"
Friendly,September 12 2023,Philippines,2–1,Afghanistan,"Manila, Philippines"
Friendly,October 17 2023,Bahrain,1–0,Philippines,"Arad, Bahrain"
2026 FIFA World Cup qualification,November 16 2023,Philippines,0–2,Vietnam,"Manila, Philippines"
2026 FIFA World Cup qualification,November 21 2023,Philippines,1–1,Indonesia,"Manila, Philippines"
2026 World Cup qualification,March 21 2024,Iraq,1–0,Philippines,"Basra, Iraq"
2026 World Cup qualification,March 26 2024,Philippines,0–5,Iraq,"Manila, Philippines"
2026 World Cup qualification,June 6 2024,Vietnam,3–2,Philippines,"Hanoi, Vietnam"
2026 World Cup qualification,June 11 2024,Indonesia,2–0,Philippines,"Jakarta, Indonesia"
2024 ASEAN Championship,November 27 2024,Philippines,v,Myanmar,"Manila, Philippines"
2024 ASEAN Championship,November 30 2024,Laos,v,Philippines,"Vientiane, Laos"
2024 ASEAN Championship,December 3 2024,Philippines,v,Vietnam,"Manila, Philippines"
2024 ASEAN Championship,December 7 2024,Indonesia,v,Philippines,"Jakarta, Indonesia"
